Descrição;Forma Pgto;Vencimento Original;Dias p/ Crédito;Bruto Cobrança (R$);Split Leuzera (R$);Taxa Antecipação (R$);Líquido Leuzera (R$)
"Mensalidade - FTV 1x na semana mensal (RENOVAÇÃO AUTOMÁTICA) ";CREDIT_CARD;2026-04-27;25;219,00;95,38;2,21;93,17
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-27;25;149,00;64,82;1,50;63,32
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana | PERSONAL";CREDIT_CARD;2026-04-27;25;379,00;165,23;3,83;161,40
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-27;25;189,00;82,28;1,90;80,38
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-27;25;269,00;117,21;2,71;114,50
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-28;26;189,00;82,28;1,98;80,30
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-28;26;269,00;117,21;2,82;114,39
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-28;26;269,00;117,21;2,82;114,39
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-28;26;189,00;82,28;1,98;80,30
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-28;26;189,00;82,28;1,98;80,30
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-28;26;189,00;82,28;1,98;80,30
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-29;27;269,00;117,21;2,93;114,28
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-29;27;269,00;117,21;2,93;114,28
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-29;27;189,00;82,28;2,06;80,22
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-29;27;269,00;117,21;2,93;114,28
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-30;28;269,00;117,21;3,04;114,17
SUBTOTAL 2026-04;;;;25670,00;11181,08;213,70;10967,38

"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Altera��o de plano - Futev�lei";CREDIT_CARD;2026-05-04;32;42,00;18,11;0,54;17,57
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 3x/semana ";CREDIT_CARD;2026-05-04;32;329,00;143,40;4,25;139,15
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-05-04;32;269,00;117,21;3,47;113,74
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-05-04;32;189,00;82,28;2,44;79,84
SUBTOTAL 2026-05;;;;6296,00;2742,46;81,24;2661,22

TOTAL GERAL;;;;31966,00;13923,54;294,94;13628,60
